Year,Humira,Keytruda,Opdivo,Stelara ,Herceptin,Avastin,Enbrel,Ocrevus,Perjeta,Remicade,Entyvio ,Tecentriq,Xolair,Imfinzi,Kadcyla,Yervoy,Cyramza  
1997,,,,,,,,,,,,,,,,,
1998,,,,,30500000,,12700000,,,,,,,,,,
1999,,,,,188400000,,366900000,,,,,,,,,,
2000,,,,,276000000,,652400000,,,,,,,,,,
2001,,,,,347000000,,761900000,,,721000000,,,,,,,
2002,,,,,385200000,,362100000,,,1297000000,,,,,,,
2003,280000000,,,,424800000,,1300000000,,,1729000000,,,25100000,,,,
2004,852000000,,,,483200000,1810000000,1900000000,,,2145000000,,,187600000,,,,
2005,1500000000,,,,2334600000,1811330000,2600000000,,,2535000000,,,325600000,,,,
2006,2000000000,,,,4272120000,3222310000,2900000000,,,3013000000,,,102000000,,,,
2007,3000000000,,,,5278410000,4466850000,3200000000,,,3327000000,,,140000000,,,,
2008,4500000000,,,,5539500000,5664610000,3600000000,,,3748000000,,,211000000,,,,
2009,5500000000,,,0,5728790000,6768810000,3493000000,,,4304000000,,,338000000,,,,
2010,6508000000,,,393000000,5906120000,7028810000,3534000000,,,4610000000,,,369000000,,,,
2011,7900000000,,,738000000,5714650000,5757080000,3701000000,,,5492000000,,,478000000,,,360000000,
2012,9265000000,,,1025000000,6403140000,6267230000,4236000000,,,6139000000,,,504000000,,,706000000,
2013,10659000000,,,1504000000,6615710000,6806170000,4551000000,,354780000,6673000000,,,613000000,,249000000,960000000,
2014,12543000000,55000000,6000000,2072000000,6829020000,6983560000,4688000000,,999050000,6868000000,250000000,,777000000,,583320000,1308000000,75600000
2015,14012000000,566000000,942000000,2474000000,7114620000,7273500000,5364000000,,1572440000,6561000000,260000000,,755000000,,836820000,1126000000,383800000
2016,16078000000,1402000000,3774000000,3232000000,7380140000,7381230000,5965000000,,2008810000,6966000000,790000000,167240000,1629650000,,904290000,1053000000,614100000
2017,18427000000,1300000000,4948000000,4011000000,7596380000,7243310000,5433000000,958680000,2378000000,6315000000,920000000,527440000,1895090000,19000000,989890000,1244000000,758300000
2018,19900000000,7171000000,6735000000,5156000000,7561720000,7414430000,5014000000,2353000000,3003000000,5326000000,1230000000,836100000,2080030000,633000000,1060290000,1330000000,821400000
2019,19200000000,11084000000,7204000000,6361000000,4015690000,7120000000,5226000000,1436650000,3814250000,4380000000,2690000000,2030590000,2142040000,1469000000,1508590000,1489000000,925100000
2020,19832000000,14400000000,6992000000,7707000000,4041680000,4992000000,5341000000,943372876,4205210000,3747000000,3190000000,2965200000,2071330000,2042000000,1889800000,1682000000,1032600000